,RMT_Raw,RMT_Vel,RMT_Accel,RMT_Zscore,Target
2019-05-27,33.300581488466925,-0.20752295162183287,-0.062740568703326,-0.6685894846664067,0
2019-05-28,33.25874792132867,-0.16063533816866027,0.046887613453172605,-0.6683757836058791,0
2019-05-29,33.314464793295784,-0.12416612115770675,0.036469217010953514,-0.6569104812001543,0
2019-05-30,33.37914924229281,-0.04512204889695681,0.07904407226074994,-0.644471181674841,0
2019-05-31,33.01047680995047,-0.0988814478548079,-0.05375939895785109,-0.6820834700286417,0
2019-06-03,33.72402202020948,0.08468810634850144,0.18356955420330934,-0.5947669042788479,0
2019-06-04,33.840611787967504,0.11637277332777529,0.03168466697927386,-0.5768390225281349,0
2019-06-05,33.19939767030141,-0.02301342459887934,-0.13938619792665463,-0.6462869403140882,0
2019-06-06,34.95482732463151,0.31513561646773525,0.3381490410666146,-0.43907846013280544,0
2019-06-07,34.833673629298616,0.36463936386963525,0.0495037474019,-0.44928453477968666,0
2019-06-10,35.11215287628759,0.2776261712156227,-0.08701319265401253,-0.41331898386196825,0
2019-06-11,35.65507999308851,0.3628936410242005,0.0852674698085778,-0.3470572893994388,0
2019-06-12,35.55723378796069,0.4715672235318564,0.10867358250765591,-0.3548196862747452,0
2019-06-13,34.47291988620279,-0.09638148768573984,-0.5679487112175963,-0.4764767724234881,0
2019-06-14,33.145308108930536,-0.33767310407362316,-0.24129161638788332,-0.6255791975460413,0
2019-06-17,32.922867930426925,-0.43785698917212557,-0.1001838850985024,-0.6464166685909664,0
2019-06-18,32.97730679533841,-0.5355546395500284,-0.09769765037790279,-0.6368577811853801,0
2019-06-19,33.10774441615646,-0.4898978743608424,0.04565676518918593,-0.6184944943154073,0
2019-06-20,33.45048482688072,-0.20448701186441554,0.2854108624964269,-0.575813925138272,0
2019-06-21,33.38836403043408,0.048611184300710875,0.2530981961651264,-0.5803610374508851,0
2019-06-24,33.41302661532798,0.09803173698021084,0.04942055267949996,-0.5750572965286892,0
2019-06-25,33.53880978915157,0.11230059876262999,0.014268861782419151,-0.5582466453959201,0
2019-06-26,33.52362626367195,0.08317636950310003,-0.029124229259529955,-0.5576429674372418,0
2019-06-27,33.2724057254672,-0.03561582028270038,-0.11879218978580042,-0.5841484032149873,0
2019-06-28,33.757507752373805,0.07382874438794573,0.10944456467064612,-0.5267567400876852,0
2019-07-01,33.722762408404016,0.0619471586152045,-0.011881585772741232,-0.5292831802912935,0
2019-07-02,35.20151263615605,0.3325405694008978,0.2705934107856933,-0.35790167488839497,0
2019-07-03,35.251022777970434,0.34547930285969386,0.012938733458796037,-0.35143531714513043,0
2019-07-04,35.35151029929305,0.41582091476517036,0.0703416119054765,-0.3393018928811289,0
2019-07-05,35.4465589897336,0.33781024747195687,-0.07801066729321349,-0.32797065468714126,0
2019-07-08,35.365435127803046,0.32853454387981174,-0.009275703592145135,-0.33697302232378684,0
2019-07-09,35.46176366302429,0.05205020537363936,-0.2764843385061724,-0.32590649259111365,0
2019-07-10,34.48787164169743,-0.15263022725459763,-0.20468043262823699,-0.43810654103646135,0
2019-07-11,34.479827175915176,-0.17433662467556843,-0.021706397420970802,-0.4399540302955781,0
2019-07-12,33.738214894351955,-0.3416688190763324,-0.16733219440076397,-0.5259292814789052,0
2019-07-16,33.55066298192967,-0.36295442917467824,-0.021285610098345842,-0.5475919609144313,0
2019-07-17,33.60092113253821,-0.37216850609721064,-0.0092140769225324,-0.5419933870761251,0
2019-07-18,33.31778496303495,-0.23401733573249572,0.13815117036471491,-0.5747708354409221,0
2019-07-19,34.621551042040146,0.028344773224986852,0.2623621089574826,-0.42527261922596293,0
2019-07-22,35.85404584221782,0.4231661895731733,0.39482141634818646,-0.2849288301720185,0
2019-07-23,35.7428694238152,0.4384412883771063,0.015275098803932963,-0.2993773005304526,0
2019-07-24,36.06945282466263,0.49370633842488587,0.055265050047779596,-0.2635025690541773,0
2019-07-25,34.15167276509756,0.16677756041251968,-0.3269287780123662,-0.48588584195272033,0
2019-07-26,31.859160228554902,-0.5524781626970423,-0.719255723109562,-0.750291453706973,0
2019-07-29,31.973044073943043,-0.7762003536549571,-0.2237221909579148,-0.7365438797334615,0
2019-07-30,31.011118597625856,-0.9463501652378667,-0.17014981158290965,-0.8461447188196362,0
2019-07-31,30.8051610168603,-1.0528583615604745,-0.10650819632260777,-0.8681309993857337,0
2019-08-01,29.75386172473499,-0.8795622080725067,0.17329615348796779,-0.9913565091512746,0
2019-08-02,29.623447047063102,-0.44714263629836637,0.43241957177414037,-1.0081066000660805,0
2019-08-05,30.716463622967016,-0.25131609019519985,0.19582654610316652,-0.8879761548236723,0
2019-08-06,31.422694059072374,0.08231509228930278,0.33363118248450263,-0.8130497755334734,0
2019-08-07,31.223591784279183,0.08368615348377517,0.0013710611944723894,-0.843151926230701,0
2019-08-08,31.035684015167824,0.2563644580865656,0.17267830460279043,-0.8720922271793392,0
2019-08-09,30.893242580854007,0.253959106758181,-0.0024053513283845973,-0.8961416016923143,0
2019-08-13,30.64149817621702,-0.014993089349996325,-0.26895219610817733,-0.9333414847019824,0
2019-08-14,31.055760030275657,-0.07338680575934475,-0.05839371640934843,-0.8920692208833753,0
2019-08-15,31.295684582935287,0.01441855973121875,0.0878053654905635,-0.8725661871672145,0
2019-08-16,31.093103307057227,0.01148385837787913,-0.0029347013533396193,-0.9057506133853058,0
2019-08-19,31.07015783058817,0.035383049946837275,0.023899191568958145,-0.9177995849849013,0
2019-08-20,31.217346328305496,0.11516963041769301,0.07978658047085574,-0.9095731743321659,0
2019-08-21,31.44112231980742,0.07707245790635397,-0.03809717251133904,-0.8915375799567264,0
2019-08-22,31.69451252106981,0.07976558762690544,0.002693129720551468,-0.8702030348773265,0
2019-08-23,31.763723168013566,0.13412397219126504,0.054358384564359596,-0.871957733137499,0
2019-08-26,31.759375465198385,0.13784352692204394,0.0037195547307788956,-0.882300846774552,0
2019-08-27,32.405222952725666,0.237575324884034,0.09973179796199005,-0.8096143475122436,0
2019-08-28,32.546346319818305,0.22104480000217563,-0.016530524881858355,-0.7991845759495462,0
2019-08-29,32.82713632249599,0.22652476028523694,0.0054799602830613026,-0.7709345488934322,0
2019-08-30,33.499492365298885,0.34715383945706435,0.12062907917182741,-0.6930029141985331,0
2019-09-02,33.135476760611624,0.27522025908264425,-0.0719335803744201,-0.7463732120885468,0
2019-09-03,33.245480590360565,0.16805152752698405,-0.1071687315556602,-0.7402041073556495,0
2019-09-04,33.74583970432802,0.23989867690193734,0.07184714937495329,-0.683858019301214,0
2019-09-05,34.05349465599961,0.24527166670073086,0.005372989798793526,-0.6518497838270634,0
2019-09-06,35.491965492326216,0.398494625405462,0.15322295870473113,-0.4721742017835299,0
2019-09-09,35.43389007795555,0.45968266346878295,0.06118803806332096,-0.4864281220680278,0
2019-09-10,35.992636336415174,0.5494311492109247,0.08974848574214178,-0.41925372114144693,0
2019-09-11,35.23025651425653,0.29688336198570653,-0.2525477872252182,-0.5257737588171324,0
2019-09-12,36.30120644172897,0.449542357145873,0.15265899516016646,-0.38999147867185996,0
2019-09-13,36.6050912505099,0.22262515163673413,-0.22691720550913885,-0.3554323961796796,0
2019-09-17,36.874297118584046,0.2880814081256986,0.06545625648896447,-0.3254406472735328,0
2019-09-18,36.77009155586779,0.15549104389052104,-0.13259036423517756,-0.3453398230788098,0
2019-09-19,36.92411873476761,0.33877244410221863,0.1832814002116976,-0.33042559690782497,0
2019-09-20,36.864330902948566,0.11262489224391459,-0.22614755185830404,-0.3441271236568942,0
2019-09-24,36.78171133673687,0.035324017245400796,-0.07730087499851379,-0.3607640246042996,0
2019-09-25,36.36046527276045,-0.10276636916471915,-0.13809038641011995,-0.4236763659227904,0
2019-09-26,36.47034917295164,-0.059948476583230104,0.04281789258148905,-0.4143546623723746,0
2019-09-27,35.839029532580284,-0.21701784043747097,-0.15706936385424086,-0.50625233371534,0
2019-09-30,35.95819537602799,-0.18122710538411724,0.03579073505335373,-0.4953049929498593,0
2019-10-01,36.54217064855397,-0.04790813763657553,0.1333189677475417,-0.42014680555879635,0
2019-10-02,35.55375915657933,-0.1613412232362279,-0.11343308559965237,-0.5622265949965767,0
2019-10-03,35.595245850244424,-0.17502066454144227,-0.013679441305214368,-0.5602413618525846,0
2019-10-04,36.46575767327204,0.12534562813835493,0.3003662926797972,-0.44238624250838327,0
2019-10-07,36.07145876901048,0.022652678596500664,-0.10269294954185426,-0.5009306648397523,0
2019-10-08,36.06636654008249,-0.09516082169430007,-0.11781350029080073,-0.5060380589747078,0
2019-10-09,36.08537319844197,0.10632280837252495,0.20148363006682501,-0.5077722658103017,0
2019-10-10,36.0338340344852,0.08771763684816136,-0.018605171524363584,-0.5195280481049801,0
2019-10-11,35.8649263956157,-0.12016625553126659,-0.20788389237942795,-0.548437829978558,0
2019-10-15,36.176742507226685,0.02105674764323595,0.14122300317450254,-0.5093724329243056,0
2019-10-16,36.78490974903801,0.14370864179110043,0.12265189414786448,-0.4284636712609701,0
