,RMT_Max_Eigen
2017-10-25,10.34976020197261
2017-10-26,10.460066053672435
2017-10-27,10.725196242287385
2017-10-30,11.274560083771751
2017-10-31,11.424142335570856
2017-11-01,11.143665157399733
2017-11-02,11.060511104790464
2017-11-06,10.829590838225027
2017-11-07,10.49945644523183
2017-11-08,10.33361278598059
2017-11-09,10.296786531500524
2017-11-10,9.73943331632783
2017-11-13,9.539070688098139
2017-11-14,9.953677128354771
2017-11-15,9.94633054892132
2017-11-16,10.668482733903746
2017-11-17,10.73710679389227
2017-11-20,10.696684878922223
2017-11-21,10.890036008254912
2017-11-22,10.75395120039245
2017-11-24,10.710152426088943
2017-11-27,10.64739450764276
2017-11-28,10.661912399542198
2017-11-29,10.539585223642248
2017-11-30,10.328888722137863
2017-12-01,9.989671978844383
2017-12-04,9.65479482744886
2017-12-05,9.608499855335053
2017-12-06,9.586782098283061
2017-12-07,10.24458331330571
2017-12-08,10.438357871375405
2017-12-11,10.220063761539208
2017-12-12,10.135073635654669
2017-12-13,10.088629800548908
2017-12-14,9.895808752966953
2017-12-15,9.843954363072093
2017-12-18,9.226609963707341
2017-12-19,9.83080385626172
2017-12-20,9.78062623978009
2017-12-21,9.708887285908594
2017-12-22,9.68733894885179
2017-12-25,9.655899242135945
2017-12-26,9.51775433992253
2017-12-27,9.578894409211653
2017-12-28,9.451090100901238
2017-12-29,9.679723448139923
2018-01-04,9.615033617246008
2018-01-05,11.202423944575559
2018-01-09,11.233398325026462
2018-01-10,11.253782113712179
2018-01-11,11.349468610216611
2018-01-12,11.33921335271151
2018-01-15,11.441916541769125
2018-01-16,11.454977486764555
2018-01-17,11.398632558957894
2018-01-18,11.394387002333213
2018-01-19,11.463337963490671
2018-01-22,11.47022159630173
2018-01-23,11.412548708033702
2018-01-24,11.460183267144966
2018-01-25,11.38645056718435
2018-01-26,11.54545811946874
2018-01-29,11.482598947558145
2018-01-30,11.24375653885185
2018-01-31,11.598547410920652
2018-02-01,11.802358772779513
2018-02-02,12.598868506238189
2018-02-05,12.501952786340208
2018-02-06,13.158020051980829
2018-02-07,15.40177645776756
2018-02-08,15.31040792613498
2018-02-09,15.46040139802004
2018-02-13,15.883615435718129
2018-02-14,15.719064826965862
2018-02-15,15.696082543845938
2018-02-16,15.454900568184138
2018-02-19,15.337116045824756
2018-02-20,15.820900125274514
2018-02-21,15.845699922367029
2018-02-22,15.736666404794907
2018-02-23,15.786020600080208
2018-02-26,15.77666642087885
2018-02-27,15.85857485177111
2018-02-28,16.06400083497181
2018-03-01,16.393162296619995
2018-03-02,16.880177583323448
2018-03-05,17.26491960228639
2018-03-06,17.097418820549933
2018-03-07,17.327442634479464
2018-03-08,17.23234726495381
2018-03-09,17.03775242406752
2018-03-12,16.91731992398992
2018-03-13,17.07190969839147
2018-03-14,17.15783000373494
2018-03-15,17.24207589782197
2018-03-16,17.33308662537894
2018-03-19,17.498481383333996
2018-03-20,17.256664473854403
2018-03-22,17.23313009270523
2018-03-23,17.263258623526784
2018-03-26,18.444631915687367
2018-03-27,18.45672533651702
2018-03-28,18.888563236332605
2018-03-29,18.83397770991849
2018-03-30,18.542534004879666
2018-04-02,18.52580717748783
2018-04-03,18.505027616006863
2018-04-04,17.82921934925294
2018-04-05,17.648281411043055
2018-04-06,17.805835691094714
2018-04-09,17.784615169645136
2018-04-10,17.84526953305307
2018-04-11,17.88657041396198
2018-04-12,17.79386719739743
2018-04-13,17.804570436405264
2018-04-16,17.791483164184328
2018-04-17,17.861394690653192
2018-04-18,17.85115703341801
2018-04-19,17.85377612155604
2018-04-20,17.72271182692648
2018-04-23,17.792490216808268
2018-04-24,17.73605547135626
2018-04-25,17.865271136565248
2018-04-26,17.77079144177861
2018-04-27,17.49828077445105
2018-05-01,17.364332242699867
2018-05-02,16.842238961791672
2018-05-07,17.00220813173016
2018-05-08,16.810907966647225
2018-05-09,14.946277899622814
2018-05-10,14.861323649892018
2018-05-11,14.790948721957095
2018-05-14,14.458981208429508
2018-05-15,14.478856398462868
2018-05-16,14.394285626611937
2018-05-17,14.230919400860753
2018-05-18,14.258580384073044
2018-05-21,13.656905061980948
2018-05-22,13.539532064913363
2018-05-23,13.655115393462241
2018-05-24,13.649766696471026
2018-05-25,13.766959123573061
2018-05-28,13.625658836624469
2018-05-29,13.448313749677434
2018-05-30,13.223440816977948
2018-05-31,13.031329353356421
2018-06-01,12.52140587773541
2018-06-04,12.534761808013517
2018-06-05,12.534999048327716
2018-06-06,12.374821650888576
2018-06-07,12.354065036720625
2018-06-08,12.358133800648043
2018-06-11,12.128456341080371
2018-06-12,12.10463349769508
2018-06-13,12.0698981513449
2018-06-14,12.062088242324096
2018-06-15,12.159733117771701
2018-06-18,11.906332898890819
2018-06-19,12.041527126756247
2018-06-20,12.393087470338328
2018-06-21,10.027680192016758
2018-06-22,9.882023121115104
2018-06-25,8.688992791533929
2018-06-26,8.493770384113489
2018-06-27,8.511575365338645
2018-06-28,8.304349841703809
2018-06-29,8.209245688972665
2018-07-02,8.137153530625502
2018-07-03,8.645126681634208
2018-07-04,8.15234219774351
2018-07-05,8.09538368745607
2018-07-06,8.196210285048497
2018-07-09,8.120376795070932
2018-07-10,8.450898600409534
2018-07-11,8.508695909027159
2018-07-12,8.558081716584878
2018-07-13,8.536362546628512
2018-07-17,8.822002221587836
2018-07-18,8.746603913968425
2018-07-19,8.780962209224166
2018-07-20,8.744811825233347
2018-07-23,8.824575391946142
2018-07-24,8.308274990408655
2018-07-25,8.372339007030646
2018-07-26,8.506905702102921
2018-07-27,8.701761823486505
2018-07-30,9.055601052265486
2018-07-31,9.022335271436978
2018-08-01,9.104293334686012
2018-08-02,9.466022427235973
2018-08-03,9.744646422453505
2018-08-06,9.65387422646989
2018-08-07,9.35494115027701
2018-08-08,9.383317088367685
2018-08-09,9.34802213049457
2018-08-10,9.371680693823839
2018-08-13,9.637580991808576
2018-08-14,10.30516100335915
2018-08-15,10.763397830105875
2018-08-16,10.827279845637445
2018-08-17,10.74702302419786
2018-08-20,10.636289230878036
2018-08-21,10.680842541181557
2018-08-22,10.655315650626019
2018-08-23,10.613809137116538
2018-08-24,10.18310315323228
2018-08-27,10.22269858373664
2018-08-28,10.519682687000374
2018-08-29,10.285048068459377
2018-08-30,10.356595710870609
2018-08-31,10.506567693623019
2018-09-03,10.477430564899258
2018-09-04,10.487417189322986
2018-09-05,10.482431022058126
2018-09-06,10.57201196584039
2018-09-07,10.6542109001179
2018-09-10,10.39980556584459
2018-09-11,10.519818153121443
2018-09-12,10.572715032965908
2018-09-13,10.097420894915377
2018-09-14,10.257972311335465
2018-09-18,10.763565984684565
2018-09-19,10.90521815883318
2018-09-20,11.124562836819917
2018-09-21,11.026659688729382
2018-09-25,11.087012035470726
2018-09-26,11.237055640232416
2018-09-27,11.050761155151084
2018-09-28,10.758072767128366
2018-10-01,10.894889831901194
2018-10-02,10.807523833754622
2018-10-03,10.681572741741798
2018-10-04,10.971367027233587
2018-10-05,10.626174750143404
2018-10-09,10.61549827731724
2018-10-10,11.137087824570813
2018-10-11,11.178145947108462
2018-10-12,12.927811085674044
2018-10-15,12.74936382916664
2018-10-16,13.053186365501414
2018-10-17,13.264005499224714
2018-10-18,13.46451266674593
2018-10-19,13.641453807569354
2018-10-22,13.636491050174223
2018-10-23,13.627467520969393
2018-10-24,14.26315759511238
2018-10-25,14.170184039811344
2018-10-26,15.216197487325266
2018-10-29,14.973633429832063
