Date,RMT_Raw_S,RMT_Threshold_S,RMT_Ratio_S,RMT_Vel_S,RMT_Accel_S,RMT_Raw,RMT_Threshold,RMT_Ratio,RMT_Vel,RMT_Accel,RMT_Raw_L,RMT_Threshold_L,RMT_Ratio_L,RMT_Vel_L,RMT_Accel_L
2018-04-16,49.43376972792473,4.963454761751991,9.959548762055341,-0.537972148584366,0.1070435317556715,41.40988230328878,3.429951660386443,12.073022130761823,-0.1290043511326786,0.015200851526877557,40.22169187771121,3.0949837929658877,12.995768174658911,0.07171157294133934,0.01969608269594403
2018-04-17,49.636565136583755,4.963454761751991,10.00040647475613,-0.47436944955922655,0.06360269902513949,41.416906191583124,3.429951660386443,12.075069940465808,-0.015290301104208481,0.11371405002847013,40.330761336559505,3.0949837929658877,13.031008895174535,0.061707864929928746,-0.010003708011410595
2018-04-18,49.86154237145175,4.963454761751991,10.045733217048948,-0.018358972623062186,0.45601047693616437,41.429046004049624,3.429951660386443,12.078609294272658,-0.008838298256158339,0.006452002848050142,40.34580931753437,3.0949837929658877,13.03587095002893,0.024700415133587228,-0.03700744979634152
2018-04-19,50.19833229282514,4.963454761751991,10.113587148945069,0.18382150241662032,0.2021804750396825,41.546649275800505,3.429951660386443,12.112896445636661,0.03233377995612585,0.04117207821228419,40.43921810523553,3.0949837929658877,13.066051653370078,0.07447311729329442,0.049772702159707194
2018-04-20,50.02819085612235,4.963454761751991,10.079308315981002,0.17776808818921097,-0.006053414227409348,41.4516856321458,3.429951660386443,12.085209861959266,0.01434726612606596,-0.01798651383005989,40.27628062482722,3.0949837929658877,13.013405988220352,0.0295759652668508,-0.04489715202644362
2018-04-23,49.996955419461244,4.963454761751991,10.07301523219956,0.11263713830730637,-0.0651309498819046,41.351810579795824,3.429951660386443,12.0560913605228,-0.01161434469858591,-0.02596161082465187,40.20321573604624,3.0949837929658877,12.98979846919326,-0.003695228332986744,-0.033271193599837545
2018-04-24,49.846146781424835,4.963454761751991,10.042631427919016,0.04191632896821318,-0.0707208093390932,41.17143596002617,3.429951660386443,12.00350326668671,-0.049094046311388695,-0.037479701612802785,39.92135075281013,3.0949837929658877,12.898726915320598,-0.081882116749874,-0.07818688841688726
2018-04-25,50.15777133513974,4.963454761751991,10.105415228451713,0.05924579273759889,0.01732946376938571,41.373628087434696,3.429951660386443,12.062452239566912,-0.011083583322985646,0.03801046298840305,39.92719593219654,3.0949837929658877,12.900615513057263,-0.08372267706756986,-0.0018405603176958607
2018-04-26,50.062759010353496,4.963454761751991,10.086272850945143,-0.02711465649432654,-0.08636044923192543,41.26911141180025,3.429951660386443,12.0319804761186,-0.05550757280005314,-0.044423989477067494,39.83020281160198,3.0949837929658877,12.869276699324216,-0.12180305872671227,-0.038080381659142404
2018-04-27,49.63731227330862,4.963454761751991,10.0005570023142,-0.0781757165627468,-0.05106106006842026,41.20556979249642,3.429951660386443,12.013454961593805,-0.04922316792987402,0.006284404870179117,39.795661372003224,3.0949837929658877,12.858116240365671,-0.09612385056480122,0.02567920816191105
2018-05-01,48.640252278208536,4.963454761751991,9.799676760031472,-0.2713406282505346,-0.19316491168778782,40.72939884327562,3.429951660386443,11.874627655448284,-0.1244823473040455,-0.07525917937417148,38.998758833908155,3.0949837929658877,12.60063426585381,-0.2408913804276125,-0.14476752986281127
2018-05-02,47.8339049367236,4.963454761751991,9.637219886706347,-0.4024483689402487,-0.1311077406897141,40.31674281429676,3.429951660386443,11.7543180797348,-0.17093862914587987,-0.04645628184183437,38.6282914199881,3.0949837929658877,12.480934959265506,-0.2586118665644008,-0.017720486136788338
2018-05-07,47.667597386005326,4.963454761751991,9.603713476614766,-0.49803478982688887,-0.09558642088664016,40.307762598715755,3.429951660386443,11.75169990418302,-0.21317309774379112,-0.042234468597911246,38.49985292237936,3.0949837929658877,12.439436035135225,-0.28546860196344426,-0.02685673539904343
2018-05-08,47.61737476114989,4.963454761751991,9.593594995180736,-0.4890768498407212,0.008957939986167673,40.24073498153447,3.429951660386443,11.732158049422965,-0.20567528605315033,0.007497811690640788,38.43354558455718,3.0949837929658877,12.418011904264853,-0.2793314454089568,0.006137156554487433
2018-05-09,47.02833354441998,4.963454761751991,9.474919345859014,-0.5217957457777302,-0.03271889593700905,40.06423932619781,3.429951660386443,11.680700864945683,-0.22826609325971958,-0.022590807206569252,38.22602914151777,3.0949837929658877,12.350962621644685,-0.313926446097085,-0.03459500068812815
2018-05-10,46.82984830422477,4.963454761751991,9.434930013887113,-0.3620807947967535,0.15971495098097677,39.860949549557546,3.429951660386443,11.621431873202122,-0.17368985874361442,0.05457623451610516,38.05554150191861,3.0949837929658877,12.295877473868908,-0.18864346639791307,0.1252829796991719
2018-05-11,46.75197820832626,4.963454761751991,9.419241325335225,-0.21638534567946976,0.14569544911728372,39.792958986592055,3.429951660386443,11.60160927227432,-0.10475676554094804,0.06893309320266638,37.983693958704436,3.0949837929658877,12.27266328341742,-0.1289194922567347,0.05972397414117836
2018-05-14,46.829907669642665,4.963454761751991,9.434941974390583,-0.1675379432725279,0.04884740240694185,39.65071339042997,3.429951660386443,11.560137668518232,-0.13140984165715253,-0.026653076116204488,37.87454593735781,3.0949837929658877,12.237397179086054,-0.12506139700430907,0.0038580952524256418
2018-05-15,45.601460390645016,4.963454761751991,9.187443540746346,-0.40318287410097753,-0.23564493082844962,39.42293860847714,3.429951660386443,11.493730090655408,-0.16355927461147246,-0.032149432954319934,37.64075121862906,3.0949837929658877,12.161857294431375,-0.15855887318561912,-0.03349747618131005
2018-05-16,40.274760051502554,4.963454761751991,8.114259519771759,-1.3507146985834808,-0.9475318244825033,39.22717531177217,3.429951660386443,11.436655438856114,-0.16741280288512428,-0.0038535282736518184,37.50185401648387,3.0949837929658877,12.11697912658414,-0.1448350250067847,0.01372384817883443
2018-05-17,40.52708642291692,4.963454761751991,8.165096362963878,-1.2605523762615718,0.09016232232190902,39.06481901688555,3.429951660386443,11.389320574997326,-0.15922610653439762,0.008186696350726663,37.474380704649285,3.0949837929658877,12.108102404225521,-0.11623215945386534,0.028602865552919354
2018-05-18,40.46042227539648,4.963454761751991,8.151665365660518,-1.2583111865859564,0.0022411896756153737,39.07931434167459,3.429951660386443,11.393546676769093,-0.14272892898349454,0.016497177550903075,37.34847023117061,3.0949837929658877,12.067420293461375,-0.12704474550676537,-0.01081258605290003
2018-05-21,39.32274377937698,4.963454761751991,7.922454352237696,-1.501432778053136,-0.2431215914671796,39.06429102191021,3.429951660386443,11.389166638432725,-0.117284473703954,0.025444455279540534,37.22831545293954,3.0949837929658877,12.028597867798226,-0.12924609688364797,-0.0022013513768825987
2018-05-22,38.82911069126041,4.963454761751991,7.823000824037849,-1.354469939876921,0.14696283817621492,38.88772276347983,3.429951660386443,11.337688286574412,-0.10704316899946065,0.01024130470449336,37.20855484283595,3.0949837929658877,12.022213146124239,-0.08643927515862515,0.042806821725022814
