Date,Market_Price_A,Market_Price_B,RMT_Raw_S,RMT_Threshold_S,RMT_Ratio_S,RMT_Vel_S,RMT_Accel_S,RMT_Raw,RMT_Threshold,RMT_Ratio,RMT_Vel,RMT_Accel,RMT_Raw_L,RMT_Threshold_L,RMT_Ratio_L,RMT_Vel_L,RMT_Accel_L,Return,Vol_20,Momentum_10,RSI_14,E_pot,E_pot_Vel,E_pot_Accel,Target,Sample_Weight
2025-07-28,2.4317980846039435,8.740270211154169,25.643317259369248,4.963454761751991,5.16642509910128,0.606285578698575,-0.1008493610423713,46.89443232749353,3.429951660386443,13.672038842148018,0.0648048351056402,0.024382325279717,44.65619272824401,3.094983792965888,14.428570782740833,0.2220508978070512,-0.0295425149856853,-0.007091920761609027,0.011078579342783,0.043241220209268016,71.16742600934337,1.4848628141145894,-0.08956989683911935,-0.03744316843100987,0.0,1.0
2025-07-29,2.409083640395299,8.539948707912034,25.649540224633164,4.963454761751991,5.16767885592241,0.6258028979647534,0.0195173192661783,46.85777837650039,3.429951660386443,13.661352408453784,0.0774586676916229,0.0126538325859826,44.70416058493609,3.094983792965888,14.444069363638445,0.1909151919724578,-0.0311357058345933,-0.00934059630709183,0.011318032860286372,0.035140663474042544,65.206207271513,1.1845219761728638,-0.1890295110542138,-0.09945961421509446,0.0,1.0
2025-07-30,2.412197527105293,8.311621395855141,24.7432897953024,4.963454761751991,4.985094250474958,0.5012270218026913,-0.1245758761620621,46.7693711292502,3.429951660386443,13.63557733754791,0.0989184057344445,0.0214597380428216,44.74526511177331,3.094983792965888,14.457350378851071,0.172121617668985,-0.0187935743034728,0.001292560647451424,0.011012039932412957,0.03419572492443379,64.46527188787428,1.7419796861071768,-0.009786891187327562,0.17924261986688625,0.0,1.0
2025-07-31,2.4321516491156037,8.538174048393314,24.60948923167048,4.963454761751991,4.958137106700227,-0.2050133869333876,-0.706240408736079,46.46738438952369,3.429951660386443,13.547533315466126,-0.034505699046015,-0.1334241047804596,44.49932435599645,3.094983792965888,14.37788606749157,0.0045709093680059,-0.167550708300979,0.008272175800733805,0.011077834802339802,0.04575980310662353,69.67155480412251,1.8778643970252298,-0.11372196519311277,-0.10393507400578521,0.0,1.0
2025-08-01,2.432011841944684,8.427974294304889,24.04881753797759,4.963454761751991,4.845177138169158,-0.4272187145652317,-0.222205327631844,46.37797313771563,3.429951660386443,13.52146552773585,-0.0832107724970043,-0.0487050734509892,44.46829926932477,3.094983792965888,14.367861754361984,-0.0409956489319043,-0.0455665582999103,-5.748291681173523e-05,0.011087782626176957,0.037124825597550704,68.79138263730792,1.526992320407528,-0.06060982136650674,0.05311214382660603,0.0,1.0
2025-08-04,2.3997889902939673,8.244331836649444,23.7002423365891,4.963454761751991,4.77494879558919,-0.3886149845560283,0.0386037300092034,46.01502329975621,3.429951660386443,13.415647757138313,-0.175881805547462,-0.0926710330504576,44.240626067157606,3.094983792965888,14.294299752943882,-0.0831133322172803,-0.042117683285376,-0.013249463302345887,0.011591337118453986,0.026151337521442386,62.19168874505927,1.2484895528766624,-0.043935569739981285,0.016674251626525458,0.0,1.0
2025-08-05,2.4118376996340145,8.227667799178562,24.45951346059052,4.963454761751991,4.92792110226806,-0.2380053528085284,0.1506096317474998,46.067220222820936,3.429951660386443,13.43086573343447,-0.1581116307358954,0.0177701748115666,44.25384085331156,3.094983792965888,14.298569496192291,-0.0900639463249106,-0.0069506141076303,0.005020736985117624,0.011494713534388964,0.031490882396147724,63.05069239350803,1.4976838365742067,0.06326973529294277,0.10720530503292405,0.0,1.0
2025-08-06,2.436589156194104,8.198538713868809,25.00723267294996,4.963454761751991,5.038271501062892,0.0527885755295152,0.2907939283380436,45.96652343040117,3.429951660386443,13.401507654257218,-0.1605695397698028,-0.0024579090339074,44.16901671317903,3.094983792965888,14.271162522260695,-0.1152496797188575,-0.0251857333939469,0.01026248846008393,0.011636227303846943,0.0021542969969310377,67.20198238069862,1.9659997629062842,0.04274134113268607,-0.020528394160256702,0.0,1.0
2025-08-07,2.4518163584431227,8.204743323102608,25.735888185582223,4.963454761751991,5.185075601756471,0.2252797907823449,0.1724912152528297,45.91394675352476,3.429951660386443,13.386178961003711,-0.1106875271997864,0.0498820125700163,44.19685958428278,3.094983792965888,14.28015865050118,-0.0604929543427275,0.05475672537613,0.00624939260289703,0.01166479647563873,-0.009630470513758538,66.78955654653,2.193465797720688,0.057932545411962,0.015191204279275929,0.0,1.0
2025-08-08,2.4842852160202598,8.359924795392882,26.43333795032367,4.963454761751991,5.325592600141535,0.4769040824692148,0.2516242916868698,45.91149135246465,3.429951660386443,13.385463090547445,-0.0932963570501996,0.0173911701495868,44.18736238844628,3.094983792965888,14.277090073580654,-0.0561873761756999,0.0043055781670275,0.013242777121266203,0.011765388901866935,0.014338681215279703,71.14741629186122,2.7873515891391594,0.23802081229456293,0.18008826688260093,0.0,1.0
