Target,Short,Long,Events,Days,Avg_Weight,Sum_Weight,Caught,_s_days,_s_drop,_l_days,_l_drop
Index 2 (Phy),3d -2.0%,7d -8.0%,74,175,10.94,1913.95,"2020 Covid, 2024 Ueda, 2025 Tariff",3,-0.02,7,-0.08
Index 2 (Phy),3d -3.0%,7d -10.0%,55,116,10.6,1230.07,"2020 Covid, 2024 Ueda, 2025 Tariff",3,-0.03,7,-0.1
Index 2 (Phy),3d -2.0%,10d -8.0%,72,186,10.48,1949.78,"2020 Covid, 2024 Ueda, 2025 Tariff",3,-0.02,10,-0.08
Index 2 (Phy),5d -2.0%,7d -4.0%,127,452,10.37,4685.41,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.02,7,-0.04
Index 2 (Phy),5d -3.0%,10d -6.0%,86,286,10.24,2928.92,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.03,10,-0.06
Index 2 (Phy),3d -2.0%,7d -10.0%,59,127,10.16,1290.87,"2020 Covid, 2024 Ueda, 2025 Tariff",3,-0.02,7,-0.1
Index 2 (Phy),3d -1.0%,10d -8.0%,76,216,9.89,2135.74,"2020 Covid, 2024 Ueda, 2025 Tariff",3,-0.01,10,-0.08
Index 2 (Phy),3d -1.0%,7d -8.0%,75,200,9.86,1971.98,"2020 Covid, 2024 Ueda, 2025 Tariff",3,-0.01,7,-0.08
Index 2 (Phy),3d -1.0%,7d -10.0%,62,138,9.84,1358.07,"2020 Covid, 2024 Ueda, 2025 Tariff",3,-0.01,7,-0.1
Index 2 (Phy),3d -3.0%,10d -10.0%,53,128,9.83,1258.57,"2020 Covid, 2024 Ueda, 2025 Tariff",3,-0.03,10,-0.1
Index 2 (Phy),5d -1.0%,7d -4.0%,125,468,9.83,4602.69,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.01,7,-0.04
Index 2 (Phy),5d -2.0%,10d -6.0%,88,310,9.48,2938.45,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.02,10,-0.06
Index 2 (Phy),5d -3.0%,7d -6.0%,94,306,9.18,2810.19,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.03,7,-0.06
Index 2 (Phy),3d -2.0%,10d -10.0%,55,147,9.11,1338.92,"2020 Covid, 2024 Ueda, 2025 Tariff",3,-0.02,10,-0.1
Index 2 (Phy),5d -3.0%,10d -8.0%,68,226,8.87,2003.51,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.03,10,-0.08
Index 2 (Phy),5d -1.0%,10d -6.0%,91,332,8.85,2939.03,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.01,10,-0.06
Index 2 (Phy),3d -1.0%,10d -10.0%,58,168,8.68,1458.84,"2020 Covid, 2024 Ueda, 2025 Tariff",3,-0.01,10,-0.1
Index 2 (Phy),5d -2.0%,7d -6.0%,98,324,8.67,2810.68,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.02,7,-0.06
Index 2 (Phy),5d -3.0%,7d -8.0%,71,220,8.43,1854.76,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.03,7,-0.08
Index 2 (Phy),5d -2.0%,10d -8.0%,69,241,8.35,2012.89,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.02,10,-0.08
Index 2 (Phy),5d -1.0%,7d -6.0%,97,332,8.32,2763.36,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.01,7,-0.06
Index 2 (Phy),5d -2.0%,7d -10.0%,61,161,8.22,1323.27,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.02,7,-0.1
Index 2 (Phy),5d -3.0%,7d -10.0%,60,159,8.18,1300.98,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.03,7,-0.1
Index 2 (Phy),5d -1.0%,7d -10.0%,61,162,8.15,1319.67,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.01,7,-0.1
Index 2 (Phy),5d -2.0%,7d -8.0%,72,228,8.02,1828.44,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.02,7,-0.08
Index 2 (Phy),5d -1.0%,10d -8.0%,72,254,7.9,2007.26,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.01,10,-0.08
Index 2 (Phy),5d -1.0%,7d -8.0%,70,233,7.73,1801.73,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.01,7,-0.08
Index 2 (Phy),5d -3.0%,10d -10.0%,53,182,7.66,1394.53,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.03,10,-0.1
Index 2 (Phy),5d -2.0%,10d -10.0%,56,192,7.32,1406.01,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.02,10,-0.1
Index 2 (Phy),5d -1.0%,10d -10.0%,56,201,6.87,1381.24,"2020 Covid, 2024 Ueda, 2025 Tariff",5,-0.01,10,-0.1
