Date,Close,target,code,NetSales,OperatingProfit,Profit,TotalAssets,Equity,NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,ROE,SelfCapitalRatio
2023-12-18,581.1,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-12-19,577.5,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-12-20,576.6,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-12-21,578.8,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-12-22,578.8,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-12-25,569.6,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-12-26,565.4,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-12-27,578.6,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-12-28,584.0,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2023-12-29,628.0,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-01-04,625.1,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-01-05,648.2,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-01-09,671.9,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-01-10,659.8,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-01-11,643.7,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-01-12,654.2,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-01-15,651.4,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-01-16,645.9,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-01-17,648.3,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-01-18,652.3,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-01-19,651.2,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-01-22,658.6,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-01-23,654.5,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-01-24,661.1,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-01-25,661.5,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-01-26,684.7,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-01-29,654.7,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-01-30,651.2,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-01-31,650.5,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-02-01,624.2,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
2024-02-02,632.0,1,4755,1491239000000.0,-179578000000.0,-208447000000.0,21640993000000.0,1131183000000.0,2140315600.0,-0.18427345531182843,0.05227038334146682
