DisclosedDate,DisclosedTime,LocalCode,DisclosureNumber,TypeOfDocument,TypeOfCurrentPeriod,CurrentPeriodStartDate,CurrentPeriodEndDate,CurrentFiscalYearStartDate,CurrentFiscalYearEndDate,NextFiscalYearStartDate,NextFiscalYearEndDate,NetSales,OperatingProfit,OrdinaryProfit,Profit,EarningsPerShare,DilutedEarningsPerShare,TotalAssets,Equity,EquityToAssetRatio,BookValuePerShare,CashFlowsFromOperatingActivities,CashFlowsFromInvestingActivities,CashFlowsFromFinancingActivities,CashAndEquivalents,ResultDividendPerShare1stQuarter,ResultDividendPerShare2ndQuarter,ResultDividendPerShare3rdQuarter,ResultDividendPerShareFiscalYearEnd,ResultDividendPerShareAnnual,DistributionsPerUnit(REIT),ResultTotalDividendPaidAnnual,ResultPayoutRatioAnnual,ForecastDividendPerShare1stQuarter,ForecastDividendPerShare2ndQuarter,ForecastDividendPerShare3rdQuarter,ForecastDividendPerShareFiscalYearEnd,ForecastDividendPerShareAnnual,ForecastDistributionsPerUnit(REIT),ForecastTotalDividendPaidAnnual,ForecastPayoutRatioAnnual,NextYearForecastDividendPerShare1stQuarter,NextYearForecastDividendPerShare2ndQuarter,NextYearForecastDividendPerShare3rdQuarter,NextYearForecastDividendPerShareFiscalYearEnd,NextYearForecastDividendPerShareAnnual,NextYearForecastDistributionsPerUnit(REIT),NextYearForecastPayoutRatioAnnual,ForecastNetSales2ndQuarter,ForecastOperatingProfit2ndQuarter,ForecastOrdinaryProfit2ndQuarter,ForecastProfit2ndQuarter,ForecastEarningsPerShare2ndQuarter,NextYearForecastNetSales2ndQuarter,NextYearForecastOperatingProfit2ndQuarter,NextYearForecastOrdinaryProfit2ndQuarter,NextYearForecastProfit2ndQuarter,NextYearForecastEarningsPerShare2ndQuarter,ForecastNetSales,ForecastOperatingProfit,ForecastOrdinaryProfit,ForecastProfit,ForecastEarningsPerShare,NextYearForecastNetSales,NextYearForecastOperatingProfit,NextYearForecastOrdinaryProfit,NextYearForecastProfit,NextYearForecastEarningsPerShare,MaterialChangesInSubsidiaries,SignificantChangesInTheScopeOfConsolidation,ChangesBasedOnRevisionsOfAccountingStandard,ChangesOtherThanOnesBasedOnRevisionsOfAccountingStandard,ChangesInAccountingEstimates,RetrospectiveRestatement,NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,NumberOfTreasuryStockAtTheEndOfFiscalYear,AverageNumberOfShares,NonConsolidatedNetSales,NonConsolidatedOperatingProfit,NonConsolidatedOrdinaryProfit,NonConsolidatedProfit,NonConsolidatedEarningsPerShare,NonConsolidatedTotalAssets,NonConsolidatedEquity,NonConsolidatedEquityToAssetRatio,NonConsolidatedBookValuePerShare,ForecastNonConsolidatedNetSales2ndQuarter,ForecastNonConsolidatedOperatingProfit2ndQuarter,ForecastNonConsolidatedOrdinaryProfit2ndQuarter,ForecastNonConsolidatedProfit2ndQuarter,ForecastNonConsolidatedEarningsPerShare2ndQuarter,NextYearForecastNonConsolidatedNetSales2ndQuarter,NextYearForecastNonConsolidatedOperatingProfit2ndQuarter,NextYearForecastNonConsolidatedOrdinaryProfit2ndQuarter,NextYearForecastNonConsolidatedProfit2ndQuarter,NextYearForecastNonConsolidatedEarningsPerShare2ndQuarter,ForecastNonConsolidatedNetSales,ForecastNonConsolidatedOperatingProfit,ForecastNonConsolidatedOrdinaryProfit,ForecastNonConsolidatedProfit,ForecastNonConsolidatedEarningsPerShare,NextYearForecastNonConsolidatedNetSales,NextYearForecastNonConsolidatedOperatingProfit,NextYearForecastNonConsolidatedOrdinaryProfit,NextYearForecastNonConsolidatedProfit,NextYearForecastNonConsolidatedEarningsPerShare
2024-05-09,15:00:00,4385,20240508584555,3QFinancialStatements_Consolidated_IFRS,3Q,2023-07-01,2024-03-31,2023-07-01,2024-06-30,,,140878000000,12801000000,,8754000000,53.69,51.41,484858000000,67211000000,0.138,,-38053000000,-763000000,21782000000,185764000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190000000000,16500000000,,12000000000,73.6,,,,,,false,,false,false,false,,163667497,196,163045428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-13,15:00:00,4385,20240809570371,FYFinancialStatements_Consolidated_IFRS,FY,2023-07-01,2024-06-30,2023-07-01,2024-06-30,2024-07-01,2025-06-30,187407000000,17486000000,,13461000000,82.48,79.01,501773000000,72145000000,0.143,438.33,-43337000000,-877000000,32091000000,191998000000,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,,163889610,196,163220957,107891000000,22611000000,22639000000,9775000000,59.89,166185000000,68186000000,0.405,410.29,,,,,,,,,,,,,,,,,,,,
2024-11-05,15:30:00,4385,20241030506959,1QFinancialStatements_Consolidated_IFRS,1Q,2024-07-01,2024-09-30,2024-07-01,2025-06-30,,,44924000000,4347000000,,2933000000,17.9,17.44,484669000000,74585000000,0.153,,-8718000000,-190000000,-18413000000,162143000000,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,,164028578,226,163935390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-06,15:30:00,4385,20250206564393,2QFinancialStatements_Consolidated_IFRS,2Q,2024-07-01,2024-12-31,2024-07-01,2025-06-30,,,94161000000,11413000000,,7384000000,45.02,43.79,505969000000,80681000000,0.159,,6995000000,-952000000,-13641000000,183941000000,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,,164228182,226,164019580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07,15:30:00,4385,20250502530182,3QFinancialStatements_Consolidated_IFRS,3Q,2024-07-01,2025-03-31,2024-07-01,2025-06-30,,,144067000000,20336000000,,11732000000,71.49,69.53,523097000000,84989000000,0.162,,8141000000,-1204000000,-13608000000,183738000000,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,,164393732,287,164102207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-12,15:00:00,4443,20231012565533,1QFinancialStatements_Consolidated_JP,1Q,2023-06-01,2023-08-31,2023-06-01,2024-05-31,,,7504000000,120000000,110000000,25000000,0.21,0.2,31625000000,13427000000,0.405,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,false,125530452,871,125440913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-12,15:00:00,4443,20240112513993,2QFinancialStatements_Consolidated_JP,2Q,2023-06-01,2023-11-30,2023-06-01,2024-05-31,,,15726000000,312000000,268000000,143000000,1.14,1.13,31312000000,13695000000,0.416,,611000000,-2711000000,-85000000,18806000000,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,false,125639668,871,125497002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-11,15:00:00,4443,20240411568870,3QFinancialStatements_Consolidated_JP,3Q,2023-06-01,2024-02-29,2023-06-01,2024-05-31,,,24234000000,738000000,677000000,539000000,4.3,4.24,32823000000,14338000000,0.412,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,false,125781264,871,125554735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-11,15:30:00,4443,20240711547784,FYFinancialStatements_Consolidated_JP,FY,2023-06-01,2024-05-31,2023-06-01,2024-05-31,2024-06-01,2025-05-31,33878000000,1337000000,1224000000,953000000,7.59,7.47,37592000000,14772000000,0.373,111.3,5483000000,-3180000000,1431000000,24729000000,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,false,125835416,871,125614516,32519000000,1559000000,1443000000,1151000000,9.16,37386000000,15046000000,0.385,114.5,,,,,,,,,,,,,,,,,,,,
2024-08-28,15:00:00,4443,20240828577605,FYFinancialStatements_Consolidated_JP,FY,2023-06-01,2024-05-31,2023-06-01,2024-05-31,2024-06-01,2025-05-31,33878000000,1337000000,1224000000,953000000,7.59,7.47,37592000000,14772000000,0.373,111.3,5483000000,-3180000000,1431000000,24729000000,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,125835416,871,125614516,32519000000,1559000000,1443000000,1151000000,9.16,37386000000,15046000000,0.385,114.5,,,,,,,,,,,,,,,,,,,,
