DisclosedDate,DisclosedTime,LocalCode,DisclosureNumber,TypeOfDocument,TypeOfCurrentPeriod,CurrentPeriodStartDate,CurrentPeriodEndDate,CurrentFiscalYearStartDate,CurrentFiscalYearEndDate,NextFiscalYearStartDate,NextFiscalYearEndDate,NetSales,OperatingProfit,OrdinaryProfit,Profit,EarningsPerShare,DilutedEarningsPerShare,TotalAssets,Equity,EquityToAssetRatio,BookValuePerShare,CashFlowsFromOperatingActivities,CashFlowsFromInvestingActivities,CashFlowsFromFinancingActivities,CashAndEquivalents,ResultDividendPerShare1stQuarter,ResultDividendPerShare2ndQuarter,ResultDividendPerShare3rdQuarter,ResultDividendPerShareFiscalYearEnd,ResultDividendPerShareAnnual,DistributionsPerUnit(REIT),ResultTotalDividendPaidAnnual,ResultPayoutRatioAnnual,ForecastDividendPerShare1stQuarter,ForecastDividendPerShare2ndQuarter,ForecastDividendPerShare3rdQuarter,ForecastDividendPerShareFiscalYearEnd,ForecastDividendPerShareAnnual,ForecastDistributionsPerUnit(REIT),ForecastTotalDividendPaidAnnual,ForecastPayoutRatioAnnual,NextYearForecastDividendPerShare1stQuarter,NextYearForecastDividendPerShare2ndQuarter,NextYearForecastDividendPerShare3rdQuarter,NextYearForecastDividendPerShareFiscalYearEnd,NextYearForecastDividendPerShareAnnual,NextYearForecastDistributionsPerUnit(REIT),NextYearForecastPayoutRatioAnnual,ForecastNetSales2ndQuarter,ForecastOperatingProfit2ndQuarter,ForecastOrdinaryProfit2ndQuarter,ForecastProfit2ndQuarter,ForecastEarningsPerShare2ndQuarter,NextYearForecastNetSales2ndQuarter,NextYearForecastOperatingProfit2ndQuarter,NextYearForecastOrdinaryProfit2ndQuarter,NextYearForecastProfit2ndQuarter,NextYearForecastEarningsPerShare2ndQuarter,ForecastNetSales,ForecastOperatingProfit,ForecastOrdinaryProfit,ForecastProfit,ForecastEarningsPerShare,NextYearForecastNetSales,NextYearForecastOperatingProfit,NextYearForecastOrdinaryProfit,NextYearForecastProfit,NextYearForecastEarningsPerShare,MaterialChangesInSubsidiaries,SignificantChangesInTheScopeOfConsolidation,ChangesBasedOnRevisionsOfAccountingStandard,ChangesOtherThanOnesBasedOnRevisionsOfAccountingStandard,ChangesInAccountingEstimates,RetrospectiveRestatement,NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,NumberOfTreasuryStockAtTheEndOfFiscalYear,AverageNumberOfShares,NonConsolidatedNetSales,NonConsolidatedOperatingProfit,NonConsolidatedOrdinaryProfit,NonConsolidatedProfit,NonConsolidatedEarningsPerShare,NonConsolidatedTotalAssets,NonConsolidatedEquity,NonConsolidatedEquityToAssetRatio,NonConsolidatedBookValuePerShare,ForecastNonConsolidatedNetSales2ndQuarter,ForecastNonConsolidatedOperatingProfit2ndQuarter,ForecastNonConsolidatedOrdinaryProfit2ndQuarter,ForecastNonConsolidatedProfit2ndQuarter,ForecastNonConsolidatedEarningsPerShare2ndQuarter,NextYearForecastNonConsolidatedNetSales2ndQuarter,NextYearForecastNonConsolidatedOperatingProfit2ndQuarter,NextYearForecastNonConsolidatedOrdinaryProfit2ndQuarter,NextYearForecastNonConsolidatedProfit2ndQuarter,NextYearForecastNonConsolidatedEarningsPerShare2ndQuarter,ForecastNonConsolidatedNetSales,ForecastNonConsolidatedOperatingProfit,ForecastNonConsolidatedOrdinaryProfit,ForecastNonConsolidatedProfit,ForecastNonConsolidatedEarningsPerShare,NextYearForecastNonConsolidatedNetSales,NextYearForecastNonConsolidatedOperatingProfit,NextYearForecastNonConsolidatedOrdinaryProfit,NextYearForecastNonConsolidatedProfit,NextYearForecastNonConsolidatedEarningsPerShare
2024-10-11,15:00:00,4443,20241011597007,1QFinancialStatements_Consolidated_JP,1Q,2024-06-01,2024-08-31,2024-06-01,2025-05-31,,,9584000000,-325000000,-329000000,-372000000,-2.96,,38448000000,14732000000,0.352,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,true,false,false,126109596,142571,125869980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-14,15:30:00,4443,20250114550647,2QFinancialStatements_Consolidated_JP,2Q,2024-06-01,2024-11-30,2024-06-01,2025-05-31,,,20058000000,183000000,139000000,320000000,2.54,2.5,38858000000,15688000000,0.373,,1009000000,-1873000000,-359000000,23503000000,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,true,false,false,false,126268044,142571,125941614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-11,15:30:00,4443,20250411513462,3QFinancialStatements_Consolidated_JP,3Q,2024-06-01,2025-02-28,2024-06-01,2025-05-31,,,31137000000,1890000000,1854000000,1697000000,13.47,13.21,39885000000,17242000000,0.404,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,true,true,false,false,126402928,142571,126012134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-14,15:30:00,4443,20250714513488,FYFinancialStatements_Consolidated_JP,FY,2024-06-01,2025-05-31,2024-06-01,2025-05-31,2025-06-01,2026-05-31,43202000000,2800000000,2743000000,424000000,3.36,3.3,47984000000,16040000000,0.312,118.29,9651000000,-2550000000,-654000000,31172000000,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,false,true,false,false,false,126516452,142571,126082316,41246000000,2927000000,2885000000,620000000,4.92,47766000000,16524000000,0.326,123.06,,,,,,,,,,,,,,,,,,,,
2025-07-18,11:30:00,4443,20250718516614,FYFinancialStatements_Consolidated_JP,FY,2024-06-01,2025-05-31,2024-06-01,2025-05-31,2025-06-01,2026-05-31,43202000000,2800000000,2743000000,424000000,3.36,3.3,47984000000,16040000000,0.312,118.29,9651000000,-2550000000,-654000000,31172000000,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,false,true,false,false,false,126516452,142571,126082316,41246000000,2927000000,2885000000,620000000,4.92,47766000000,16524000000,0.326,123.06,,,,,,,,,,,,,,,,,,,,
2023-11-01,15:00:00,4751,20231031576627,FYFinancialStatements_Consolidated_JP,FY,2022-10-01,2023-09-30,2022-10-01,2023-09-30,2023-10-01,2024-09-30,720207000000,24557000000,24915000000,5332000000,10.53,9.6,477826000000,231911000000,0.302,285.31,20822000000,-40290000000,53491000000,201780000000,,0.0,,15.0,15.0,,7592000000,1.425,,,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,,,,,750000000000,30000000000,30000000000,8000000000,15.8,false,,true,false,false,false,506191200,1040,506048563,403045000000,4806000000,9658000000,7292000000,14.41,197808000000,37536000000,0.179,70.12,,,,,,,,,,,,,,,,,,,,
2024-01-31,15:00:00,4751,20240130522515,1QFinancialStatements_Consolidated_JP,1Q,2023-10-01,2023-12-31,2023-10-01,2024-09-30,,,193075000000,6284000000,6478000000,-472000000,-0.93,,468681000000,221914000000,0.288,,,,,,,,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,,,,,,,,750000000000,30000000000,30000000000,8000000000,15.8,,,,,,false,,false,false,false,false,506215600,1045,506202815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-24,15:00:00,4751,20240424575252,2QFinancialStatements_Consolidated_JP,2Q,2023-10-01,2024-03-31,2023-10-01,2024-09-30,,,408205000000,27355000000,27788000000,9866000000,19.48,17.93,499775000000,239441000000,0.298,,23008000000,-10929000000,-8429000000,205575000000,,0.0,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,,,,,,,,750000000000,30000000000,30000000000,8000000000,15.8,,,,,,false,,false,false,false,false,506273200,1045,506225993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-31,15:00:00,4751,20240731558712,3QFinancialStatements_Consolidated_JP,3Q,2023-10-01,2024-06-30,2023-10-01,2024-09-30,,,598584000000,35932000000,36957000000,15825000000,31.26,28.76,496756000000,245049000000,0.309,,,,,,,0.0,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,,,,,,,,790000000000,41000000000,41000000000,16500000000,32.59,,,,,,,false,false,false,false,false,506282800,1048,506244255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-30,15:00:00,4751,20241030505770,FYFinancialStatements_Consolidated_JP,FY,2023-10-01,2024-09-30,2023-10-01,2024-09-30,2024-10-01,2025-09-30,802996000000,41843000000,41475000000,16246000000,32.09,29.48,520417000000,254235000000,0.306,314.73,53231000000,-38331000000,-5195000000,211135000000,,0.0,,16.0,16.0,,8101000000,0.499,,,,,,,,,,,,17.0,17.0,,,,,,,,,,,,,,,,,,820000000000,42000000000,42000000000,21000000000,41.47,,false,false,false,false,false,506344400,1098,506261873,435124000000,5665000000,12553000000,10544000000,20.82,213799000000,47220000000,0.209,88.16,,,,,,,,,,,,,,,,,,,,
2025-01-29,15:30:00,4751,20250129557169,1QFinancialStatements_Consolidated_JP,1Q,2024-10-01,2024-12-31,2024-10-01,2025-09-30,,,203842000000,8301000000,8806000000,5071000000,10.01,9.21,524972000000,252002000000,0.298,,,,,,,,,,,,,,,,,17.0,17.0,,,,,,,,,,,,,,,,,,,,,820000000000,42000000000,42000000000,21000000000,41.46,,,,,,,false,true,false,false,false,506430400,1098,506371098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-15,15:30:00,4751,20250514551856,2QFinancialStatements_Consolidated_JP,2Q,2024-10-01,2025-03-31,2024-10-01,2025-09-30,,,421214000000,29169000000,29178000000,15863000000,31.32,29.54,520288000000,262428000000,0.313,,23786000000,-9952000000,-24782000000,200400000000,,0.0,,,,,,,,,,17.0,17.0,,,,,,,,,,,,,,,,,,,,,820000000000,42000000000,42000000000,21000000000,41.46,,,,,,,false,true,false,false,false,506480000,1098,506416928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-15,15:30:00,4751,20250514552371,FYFinancialStatements_Consolidated_JP,FY,2019-10-01,2020-09-30,2019-10-01,2020-09-30,2020-10-01,2021-09-30,478526000000,33839000000,33822000000,6567000000,52.09,48.82,260725000000,127637000000,0.343,709.49,37028000000,-16621000000,-2590000000,102368000000,,0.0,,34.0,34.0,,4288000000,0.653,,,,,,,,,,0.0,,37.0,37.0,,,,,,,,,,,,,,,,,,500000000000,,,,,false,,false,false,false,false,126426600,297742,126068485,260611000000,14122000000,22554000000,17723000000,140.59,189322000000,108741000000,0.569,854.5,,,,,,,,,,,,,,,,,,,,
2025-05-15,15:30:00,4751,20250514552557,FYFinancialStatements_Consolidated_JP,FY,2020-10-01,2021-09-30,2020-10-01,2021-09-30,2021-10-01,2022-09-30,666149000000,104070000000,104382000000,41242000000,81.68,77.31,382225000000,193792000000,0.336,254.28,109609000000,-28537000000,374000000,184082000000,,0.0,,11.0,11.0,,5560000000,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,false,505706400,251404,504905332,314857000000,18158000000,25657000000,-69028000000,-136.71,124633000000,34972000000,0.27,66.63,,,,,,,,,,,,,,,,,,,,
2025-05-15,15:30:00,4751,20250514552559,3QFinancialStatements_Consolidated_JP,3Q,2021-10-01,2022-06-30,2021-10-01,2022-09-30,,,533882000000,54813000000,55180000000,19779000000,39.12,37.03,373421000000,215409000000,0.373,,,,,,,0.0,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,700000000000,70000000000,70000000000,25000000000,49.43,,,,,,false,,true,false,false,false,505706400,1004,505576066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-15,15:30:00,4751,20250514552560,FYFinancialStatements_Consolidated_JP,FY,2021-10-01,2022-09-30,2021-10-01,2022-09-30,2022-10-01,2023-09-30,709923000000,67552000000,67902000000,22901000000,45.29,42.86,381933000000,221245000000,0.373,281.85,17946000000,-31412000000,-2801000000,168035000000,,0.0,,14.0,14.0,,7082000000,0.309,,,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,,,,,720000000000,,,,,false,,true,false,false,false,505924000,1004,505655340,363045000000,12102000000,14502000000,10018000000,19.81,132442000000,36306000000,0.261,68.41,,,,,,,,,,,,,,,,,,,,
2025-05-15,15:30:00,4751,20250514552562,1QFinancialStatements_Consolidated_JP,1Q,2022-10-01,2022-12-31,2022-10-01,2023-09-30,,,167423000000,-1738000000,-1421000000,-5391000000,-10.65,,420970000000,209638000000,0.309,,,,,,,,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,,,,,,,,720000000000,,,,,,,,,,false,,true,false,false,false,505938400,1004,505930926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-15,15:30:00,4751,20250514552564,2QFinancialStatements_Consolidated_JP,2Q,2022-10-01,2023-03-31,2022-10-01,2023-09-30,,,362872000000,16473000000,16834000000,2039000000,4.03,3.65,426283000000,221064000000,0.323,,14080000000,-12012000000,15410000000,185281000000,,0.0,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,,,,,,,,720000000000,,,,,,,,,,false,,true,false,false,false,506073600,1004,505988611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-15,15:30:00,4751,20250514552565,3QFinancialStatements_Consolidated_JP,3Q,2022-10-01,2023-06-30,2022-10-01,2023-09-30,,,534397000000,17383000000,17877000000,2304000000,4.55,4.0,461683000000,226333000000,0.303,,,,,,,0.0,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,,,,,,,,720000000000,25000000000,25000000000,6000000000,11.85,,,,,,false,,true,false,false,false,506097200,1040,506018346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-15,15:30:00,4751,20250514552566,FYFinancialStatements_Consolidated_JP,FY,2022-10-01,2023-09-30,2022-10-01,2023-09-30,2023-10-01,2024-09-30,719451000000,22351000000,22710000000,3540000000,6.99,6.3,475222000000,228450000000,0.297,278.47,20822000000,-40290000000,53491000000,201780000000,,0.0,,15.0,15.0,,7592000000,2.144,,,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,,,,,750000000000,30000000000,30000000000,8000000000,15.8,false,,true,false,false,false,506191200,1040,506048563,403045000000,4806000000,9658000000,7292000000,14.41,197808000000,37536000000,0.179,70.12,,,,,,,,,,,,,,,,,,,,
2025-05-15,15:30:00,4751,20250514552567,1QFinancialStatements_Consolidated_JP,1Q,2023-10-01,2023-12-31,2023-10-01,2024-09-30,,,192655000000,5864000000,6058000000,-892000000,-1.76,,464799000000,218032000000,0.282,,,,,,,,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,,,,,,,,750000000000,30000000000,30000000000,8000000000,15.8,,,,,,false,,false,false,false,false,506215600,1045,506202815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-15,15:30:00,4751,20250514552570,2QFinancialStatements_Consolidated_JP,2Q,2023-10-01,2024-03-31,2023-10-01,2024-09-30,,,407444000000,26595000000,27028000000,9105000000,17.98,16.54,495553000000,235219000000,0.292,,23008000000,-10929000000,-8429000000,205575000000,,0.0,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,,,,,,,,750000000000,30000000000,30000000000,8000000000,15.8,,,,,,false,,false,false,false,false,506273200,1045,506225993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-15,15:30:00,4751,20250514552572,3QFinancialStatements_Consolidated_JP,3Q,2023-10-01,2024-06-30,2023-10-01,2024-09-30,,,597485000000,34833000000,35858000000,14726000000,29.09,26.75,492195000000,240488000000,0.303,,,,,,,0.0,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,,,,,,,,790000000000,41000000000,41000000000,16500000000,32.59,,,,,,,false,false,false,false,false,506282800,1048,506244255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-15,15:30:00,4751,20250514552574,FYFinancialStatements_Consolidated_JP,FY,2023-10-01,2024-09-30,2023-10-01,2024-09-30,2024-10-01,2025-09-30,801236000000,40083000000,39715000000,15977000000,31.56,28.99,516686000000,250504000000,0.301,307.36,53231000000,-38331000000,-5195000000,211135000000,,0.0,,16.0,16.0,,8101000000,0.507,,,,,,,,,,,,17.0,17.0,,,,,,,,,,,,,,,,,,820000000000,42000000000,42000000000,21000000000,41.47,,false,false,false,false,false,506344400,1098,506261873,435124000000,5665000000,12553000000,10544000000,20.82,213799000000,47220000000,0.209,88.16,,,,,,,,,,,,,,,,,,,,
2025-05-15,15:30:00,4751,20250514552575,1QFinancialStatements_Consolidated_JP,1Q,2024-10-01,2024-12-31,2024-10-01,2025-09-30,,,203842000000,8301000000,8806000000,5071000000,10.01,9.21,521241000000,248271000000,0.293,,,,,,,,,,,,,,,,,17.0,17.0,,,,,,,,,,,,,,,,,,,,,820000000000,42000000000,42000000000,21000000000,41.46,,,,,,,false,true,false,false,false,506430400,1098,506371098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-12,15:00:00,3697,20231012565742,FYFinancialStatements_Consolidated_JP,FY,2022-09-01,2023-08-31,2022-09-01,2023-08-31,2023-09-01,2024-08-31,88043000000,11569000000,12004000000,6248000000,354.71,354.18,49500000000,29581000000,0.585,1647.1,10167000000,-3721000000,-1797000000,17551000000,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,true,,false,false,false,false,17823114,239804,17615696,57648000000,8626000000,8817000000,4594000000,260.84,40730000000,25707000000,0.627,1452.46,,,,,,,,,,,,,,,,,,,,
2023-10-24,15:45:00,3697,20231024570668,FYFinancialStatements_Consolidated_JP,FY,2022-09-01,2023-08-31,2022-09-01,2023-08-31,2023-09-01,2024-08-31,88030000000,11565000000,12000000000,6245000000,354.56,354.03,49530000000,29578000000,0.585,1646.95,10167000000,-3721000000,-1797000000,17551000000,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,true,,false,false,false,false,17823114,239804,17615696,57648000000,8626000000,8817000000,4594000000,260.84,40765000000,25707000000,0.626,1452.46,,,,,,,,,,,,,,,,,,,,
2024-01-12,15:00:00,3697,20240111513409,1QFinancialStatements_Consolidated_JP,1Q,2023-09-01,2023-11-30,2023-09-01,2024-08-31,,,25073000000,1815000000,1884000000,1095000000,62.3,62.23,53486000000,30671000000,0.561,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,false,false,false,false,17826614,239883,17585682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-11,15:00:00,3697,20240411568859,2QFinancialStatements_Consolidated_JP,2Q,2023-09-01,2024-02-29,2023-09-01,2024-08-31,,,52305000000,4685000000,4833000000,2977000000,169.3,169.1,62241000000,32443000000,0.51,,556000000,-6836000000,8052000000,19324000000,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,false,false,false,false,17826878,227584,17586511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-10,15:00:00,3697,20240710546846,3QFinancialStatements_Consolidated_JP,3Q,2023-09-01,2024-05-31,2023-09-01,2024-08-31,,,81143000000,7063000000,7263000000,3295000000,187.32,187.13,61054000000,32826000000,0.525,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,false,false,false,false,17830878,227134,17591002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-10,15:00:00,3697,20241010596269,FYFinancialStatements_Consolidated_JP,FY,2023-09-01,2024-08-31,2023-09-01,2024-08-31,2024-09-01,2025-08-31,110627000000,10537000000,10753000000,5715000000,324.82,324.52,63304000000,35109000000,0.541,1946.57,9088000000,-9946000000,4154000000,20844000000,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,130000000000,13500000000,13500000000,7900000000,450.25,,true,false,false,false,false,17833378,227136,17594635,70919000000,8081000000,8166000000,4525000000,257.2,49398000000,26777000000,0.535,1500.75,,,,,,,,,,,,,,,,,,,,
2024-10-30,15:00:00,3697,20241030506122,FYFinancialStatements_Consolidated_JP,FY,2023-09-01,2024-08-31,2023-09-01,2024-08-31,2024-09-01,2025-08-31,110627000000,10537000000,10753000000,5127000000,291.43,291.17,62717000000,34522000000,0.537,1913.21,9088000000,-9946000000,4154000000,20844000000,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,130000000000,13500000000,13500000000,7900000000,450.25,,true,false,false,false,false,17833378,227136,17594635,70919000000,8081000000,8166000000,4525000000,257.2,49398000000,26777000000,0.535,1500.75,,,,,,,,,,,,,,,,,,,,
2025-01-14,15:30:00,3697,20250114550207,1QFinancialStatements_Consolidated_JP,1Q,2024-09-01,2024-11-30,2024-09-01,2025-08-31,,,30174000000,3517000000,3313000000,1976000000,112.46,112.42,66212000000,35606000000,0.524,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,130000000000,13500000000,13500000000,7900000000,30.02,,,,,,,false,true,false,false,false,17833378,294536,17578838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10,15:30:00,3697,20250410512548,2QFinancialStatements_Consolidated_JP,2Q,2024-09-01,2025-02-28,2024-09-01,2025-08-31,,,61688000000,8058000000,7868000000,4493000000,17.06,17.06,67800000000,36126000000,0.528,,4043000000,-1465000000,1478000000,24901000000,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,130000000000,13500000000,13500000000,7900000000,30.02,,,,,,,false,true,false,false,false,267500670,4303657,263386883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-09,15:30:00,3697,20250709510601,3QFinancialStatements_Consolidated_JP,3Q,2024-09-01,2025-05-31,2024-09-01,2025-08-31,,,95412000000,11906000000,11635000000,6282000000,23.86,23.84,77830000000,38311000000,0.487,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,130000000000,15000000000,14500000000,7900000000,30.02,,,,,,,true,true,false,false,false,267500670,4215457,263342928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
