Date,target,MAdivergence60,code,ROE,SelfCapitalRatio
2024-10-02,1,0.0666937831276296,4689,0.01487523188871882,0.38625288495483645
2024-10-03,0,0.07950481430536452,4689,0.01487523188871882,0.38625288495483645
2024-10-04,0,0.10002408996969749,4689,0.01487523188871882,0.38625288495483645
2024-10-07,0,0.09130970672159659,4689,0.01487523188871882,0.38625288495483645
2024-10-08,1,0.07170874490716928,4689,0.01487523188871882,0.38625288495483645
2024-10-09,0,0.07405628176278733,4689,0.01487523188871882,0.38625288495483645
2024-10-10,1,0.07342753058603045,4689,0.01487523188871882,0.38625288495483645
2024-10-11,1,0.06080947430884929,4689,0.01487523188871882,0.38625288495483645
2024-10-15,1,0.07647414982004119,4689,0.01487523188871882,0.38625288495483645
2024-10-16,1,0.07019562715765253,4689,0.01487523188871882,0.38625288495483645
2024-10-17,1,0.05000818155499895,4689,0.01487523188871882,0.38625288495483645
2024-10-18,1,0.04883762840151382,4689,0.01487523188871882,0.38625288495483645
2024-10-21,1,0.07428887047776836,4689,0.01487523188871882,0.38625288495483645
2024-10-22,1,0.05934097145936104,4689,0.01487523188871882,0.38625288495483645
2024-10-23,1,0.04661195330051655,4689,0.01487523188871882,0.38625288495483645
2024-10-24,1,0.029026380812139655,4689,0.01487523188871882,0.38625288495483645
2024-10-25,1,0.02059376829830452,4689,0.01487523188871882,0.38625288495483645
2024-10-28,1,0.03319656844461028,4689,0.01487523188871882,0.38625288495483645
2024-10-29,1,0.031867845455636076,4689,0.01487523188871882,0.38625288495483645
2024-10-30,1,0.035153266590979455,4689,0.01487523188871882,0.38625288495483645
2024-10-31,1,0.03592644280050886,4689,0.01487523188871882,0.38625288495483645
2024-11-01,1,0.019674472433577273,4689,0.01487523188871882,0.38625288495483645
2024-11-05,1,0.04085443763719162,4689,0.026224405702562452,0.37448732066915963
2024-11-06,1,0.03276175683132706,4689,0.026224405702562452,0.37448732066915963
2024-11-07,1,0.021938327789228884,4689,0.026224405702562452,0.37448732066915963
2024-11-08,1,0.007817658615320633,4689,0.026224405702562452,0.37448732066915963
2024-11-11,1,-0.01050574150989497,4689,0.026224405702562452,0.37448732066915963
2024-11-12,1,0.007902967985454985,4689,0.026224405702562452,0.37448732066915963
2024-11-13,1,0.006396588486140725,4689,0.026224405702562452,0.37448732066915963
2024-11-14,1,0.018557570645297478,4689,0.026224405702562452,0.37448732066915963
2024-11-15,1,-0.009246546214505309,4689,0.026224405702562452,0.37448732066915963
2024-11-18,1,-0.01344057743504266,4689,0.026224405702562452,0.37448732066915963
2024-11-19,1,-0.004768062065621401,4689,0.026224405702562452,0.37448732066915963
2024-11-20,1,0.002902224500587421,4689,0.026224405702562452,0.37448732066915963
2024-11-21,1,0.011821512492593892,4689,0.026224405702562452,0.37448732066915963
2024-11-22,1,0.003194913922653249,4689,0.026224405702562452,0.37448732066915963
2024-11-25,1,0.00262598272973316,4689,0.026224405702562452,0.37448732066915963
2024-11-26,1,-0.0040220791612818,4689,0.026224405702562452,0.37448732066915963
2024-11-27,1,-0.007336517991170338,4689,0.026224405702562452,0.37448732066915963
2024-11-28,1,-0.003519498019025492,4689,0.026224405702562452,0.37448732066915963
2024-11-29,1,-0.006180708308368021,4689,0.026224405702562452,0.37448732066915963
2024-12-02,1,0.009037839924095016,4689,0.026224405702562452,0.37448732066915963
2024-12-03,1,0.017974414074267423,4689,0.026224405702562452,0.37448732066915963
2024-12-04,1,0.034059453604525294,4689,0.026224405702562452,0.37448732066915963
2024-12-05,1,0.027677169140036508,4689,0.026224405702562452,0.37448732066915963
2024-12-06,1,0.02949473608393447,4689,0.026224405702562452,0.37448732066915963
2024-12-09,1,0.0428486950406751,4689,0.026224405702562452,0.37448732066915963
2024-12-10,1,0.03804488778054873,4689,0.026224405702562452,0.37448732066915963
2024-12-11,1,0.04837230810935799,4689,0.026224405702562452,0.37448732066915963
2024-12-12,1,0.05009557183816495,4689,0.026224405702562452,0.37448732066915963
2024-12-13,1,0.05244739950133405,4689,0.026224405702562452,0.37448732066915963
2024-12-16,1,0.04354870092481916,4689,0.026224405702562452,0.37448732066915963
2024-12-17,1,0.05378339161255014,4689,0.026224405702562452,0.37448732066915963
2024-12-18,1,0.04070964676065246,4689,0.026224405702562452,0.37448732066915963
2024-12-19,1,0.022102835350294673,4689,0.026224405702562452,0.37448732066915963
2024-12-20,1,0.010966767610477993,4689,0.026224405702562452,0.37448732066915963
2024-12-23,1,0.0009566805556653062,4689,0.026224405702562452,0.37448732066915963
2024-12-24,1,0.003581678882326409,4689,0.026224405702562452,0.37448732066915963
2024-12-25,1,0.004596892453270195,4689,0.026224405702562452,0.37448732066915963
2024-12-26,1,0.005169306648961277,4689,0.026224405702562452,0.37448732066915963
2024-12-27,1,0.012690234998498712,4689,0.026224405702562452,0.37448732066915963
2024-12-30,1,-0.0055759510928628875,4689,0.026224405702562452,0.37448732066915963
2025-01-06,1,-0.019244915877648875,4689,0.026224405702562452,0.37448732066915963
2025-01-07,1,0.009454487914870087,4689,0.026224405702562452,0.37448732066915963
2025-01-08,1,0.0103159660142714,4689,0.026224405702562452,0.37448732066915963
2025-01-09,1,0.004446272884064489,4689,0.026224405702562452,0.37448732066915963
2025-01-10,1,0.009410564040490286,4689,0.026224405702562452,0.37448732066915963
2025-01-14,1,0.008736370431598204,4689,0.026224405702562452,0.37448732066915963
2025-01-15,1,0.013699496946878805,4689,0.026224405702562452,0.37448732066915963
2025-01-16,1,0.011733162496589044,4689,0.026224405702562452,0.37448732066915963
2025-01-17,1,0.012760305488354431,4689,0.026224405702562452,0.37448732066915963
2025-01-20,1,0.009333828608461303,4689,0.026224405702562452,0.37448732066915963
2025-01-21,1,0.015016201691298596,4689,0.026224405702562452,0.37448732066915963
2025-01-22,1,0.02295486057618241,4689,0.026224405702562452,0.37448732066915963
2025-01-23,1,0.03197129333928086,4689,0.026224405702562452,0.37448732066915963
2025-01-24,1,0.042645058259892295,4689,0.026224405702562452,0.37448732066915963
